Original Kernel,Optimized Kernel,NRMSE (Pressure),NRMSE (Heat Transfer),R^2 (Pressure),R^2 (Heat Transfer)
10**2 * RBF(length_scale=0.1),0.742**2 * RBF(length_scale=1.06),0.00428,0.00623,0.9881,0.9914
2.44**2 * RBF(length_scale=2.41),1**2 * RBF(length_scale=1e-05),0.06765,0.07887,-0.0588,-0.1761
"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)","4.64**2 * RationalQuadratic(alpha=0.00846, length_scale=12.9)",0.00208,0.00403,0.9964,0.9972
0.316**2 * DotProduct(sigma_0=1) ** 2,0.391**2 * DotProduct(sigma_0=5.28) ** 2,0.00495,0.01408,0.9918,0.9731
"1**2 * Matern(length_scale=1, nu=2.5)","1.54**2 * Matern(length_scale=3.7, nu=2.5)",0.00124,0.00257,0.997,0.9988
"1**2 + Matern(length_scale=0.1, nu=1.5) + WhiteKernel(noise_level=1)","0.00832**2 + Matern(length_scale=6.25, nu=1.5) + WhiteKernel(noise_level=8.5e-05)",0.00169,0.00336,0.9973,0.9982
2.28**2 * RBF(length_scale=3.09) + WhiteKernel(noise_level=0.002),2.75**2 * RBF(length_scale=3.48) + WhiteKernel(noise_level=0.00161),0.00125,0.00274,0.9966,0.9987
